iter	Passed	Remaining
1634	7318	6110
1635	7323	6105
1636	7328	6101
1637	7332	6096
1638	7336	6092
1639	7340	6087
1640	7344	6082
1641	7349	6078
1642	7353	6073
1643	7357	6068
1644	7361	6063
1645	7365	6059
1646	7370	6054
1647	7374	6049
1648	7377	6044
1649	7382	6039
1650	7386	6035
1651	7390	6030
1652	7394	6025
1653	7398	6021
1654	7402	6016
1655	7406	6011
1656	7410	6006
1657	7415	6001
1658	7419	5997
1659	7423	5992
1660	7427	5987
1661	7431	5983
1662	7436	5978
1663	7440	5973
1664	7444	5969
1665	7449	5965
1666	7453	5960
1667	7457	5955
1668	7461	5950
1669	7465	5945
1670	7470	5941
1671	7474	5936
1672	7478	5931
1673	7482	5926
1674	7486	5922
1675	7490	5917
1676	7494	5912
1677	7498	5907
1678	7502	5902
1679	7506	5898
1680	7510	5893
1681	7514	5888
